iter	Passed	Remaining
672	4700	2284
673	4706	2276
674	4711	2268
675	4716	2260
676	4721	2252
677	4728	2245
678	4733	2237
679	4741	2231
680	4746	2223
681	4751	2215
682	4756	2207
683	4761	2199
684	4766	2191
685	4771	2184
686	4777	2176
687	4782	2168
688	4787	2161
689	4793	2153
690	4799	2146
691	4804	2138
692	4810	2131
693	4815	2123
694	4820	2115
695	4826	2107
696	4831	2100
697	4836	2092
698	4840	2084
699	4847	2077
700	4855	2070
701	4860	2063
702	4865	2055
703	4871	2048
704	4876	2040
705	4882	2033
706	4887	2025
707	4893	2018
708	4902	2012
709	4908	2004
710	4913	1997
711	4920	1990
712	4926	1983
713	4932	1975
714	4938	1968
715	4943	1961
716	4950	1954
717	4956	1946
718	4961	1939
719	4970	1932
720	4977	1925
721	4987	1920
722	4994	1913
723	5002	1907
724	5009	1900
725	5015	1892
726	5021	1885
727	5027	1878
728	5037	1872
729	5044	1865
730	5049	1858
731	5072	1857
732	5076	1849
733	5081	1841
734	5087	1834
735	5092	1826
736	5097	1818
737	5102	1811
738	5107	1803
739	5111	1796
740	5116	1788
741	5120	1780
742	5125	1773
743	5130	1765
744	5135	1757
745	5141	1750
746	5145	1742
747	5150	1735
748	5155	1727
749	5159	1719
750	5164	1712
751	5169	1704
752	5175	1697
753	5179	1689
754	5183	1682
755	5188	1674
756	5193	1667
757	5198	1659
758	5203	1652
759	5208	1644
760	5213	1637
761	5218	1629
762	5223	1622
763	5228	1614
764	5233	1607
765	5238	1600
766	5243	1593
767	5248	1585
768	5253	1578
769	5259	1570
770	5264	1563
771	5269	1556
772	5275	1549
773	5278	1541
774	5281	1533
775	5284	1525
776	5287	1517
777	5290	1509
778	5293	1501
779	5296	1493
780	5298	1485
781	5301	1477
782	5304	1470
783	5309	1462
784	5317	1456
785	5322	1449
786	5328	1442
787	5334	1435
788	5338	1427
789	5344	1420
790	5350	1413
791	5356	1406
792	5362	1399
793	5367	1392
794	5372	1385
795	5377	1378
796	5383	1371
797	5388	1363
798	5393	1356
799	5400	1350
800	5406	1343
801	5411	1336
802	5421	1329
803	5428	1323
804	5433	1316
805	5439	1309
806	5444	1302
807	5451	1295
808	5457	1288
809	5463	1281
810	5471	1275
811	5476	1267
812	5481	1260
813	5489	1254
814	5493	1246
815	5500	1240
816	5506	1233
817	5511	1226
818	5516	1219
819	5521	1212
820	5528	1205
821	5533	1198
822	5540	1191
823	5545	1184
824	5550	1177
825	5558	1170
826	5564	1164
827	5569	1157
828	5575	1150
829	5580	1142
830	5586	1136
831	5592	1129
832	5598	1122
833	5602	1115
834	5608	1108
835	5613	1101
836	5619	1094
837	5642	1090
838	5647	1083
839	5651	1076
840	5658	1069
841	5663	1062
842	5669	1055
843	5675	1048
844	5679	1041
845	5687	1035
846	5691	1028
847	5697	1021
848	5702	1014
849	5706	1007
850	5713	1000
851	5717	993
852	5722	986
853	5726	978
854	5731	972
855	5735	964
856	5739	957
857	5743	950
858	5747	943
859	5752	936
860	5756	929
861	5760	922
862	5764	915
863	5768	908
864	5772	900
865	5776	893
866	5781	886
867	5785	879
